name,comment,likes
@godforsaken11,"Jokes aside, can we all just take a moment to appreciate.....




He's good at calculus 





And his name is Dan",1.2K
@romulusmilea2747,"Mr. Dan Ciubotaru - the lecturer of this class is a Romanian Professor, teaching at famous Oxford University. We Romanians are really proud of you, dear Professor ! Best of luck !",2.3K
@eraybulgaria,"When you cant even do basic maths but you want to learn calculus in 50 minutes  
Very*noice",1K
@jnk97a,Was struggling with my equations and here I'm being introduced to a new problem,1
@LegendShadowsZz,"Dan: “do you understand?”
Me: Brain malfunctions 
Me: Oui",908
@Seba-xs8bb,"honestly, its satisfying watching someone do calculus and know what they are doing",447
@ArtyMac,"Professor: “There are 16 lectures. The lecture notes are online....”

Me: “Ight imma head out”",1.4K
@Sprintingsands,"This content really isn’t as bad as it looks on the surface, it’s just surprising to me seeing the broadness of content all in one lecture. In my physics degree atleast we had a nicer spread, and I remember the days when I had to use some Oxford notes to answer homework. Brutal times that will probably cause grey hairs to show a few years earlier than they otherwise would haha",0
@furry3610,"Before watching: 0 IQ
After watching: Error",817
@benv7933,Why am I watching this and why is it in my recommended?!,17K
@LightningBoom1991,"I’m gonna give this a like, just for the professor.",697
@radoxme8426,"Another was ""F16 fighting Falcon"" A book all about the engineering of 1 plane. My dad's. I asked my dad about doing aeronautical engineering. He said it was too specialist. I was to choose a general main category. Civil, mechanical, electrical, software etc. He said there would always be time to specialise later on.",0
@saintricardo8746,Bruh I skipped to 15 mins and math changed to electrical engineering,4.6K
@abdxl3635,I don’t even attend my own lectures but I’m out here watching calculus lecture on YouTube,202
@shufflythedog,"This mathematics prof actually has a personality, I'm so sad his students literally never react to any of his jokes",5K
@Blake_47,"Well this almost all of differential and integral calculus that took me 6 months in college
Feels good looking back",1
@MM-vm1qv,"Why is this recommended to me I can’t even add fractions 
EDIT : I can add fractions now. Time for Multivariable calculus",1.3K
@cosmiclu4183,I feel so safe in the fact that I’ll never have to do any of this.,4.7K
@carissa4553,"I guess you are just scrolling through the funny comments and not even focusing on the lesson




I’m glad you can relate to my comment lol
Quarantine is really boring and thanks for giving me notifications",1.7K
@Lohkate02,"Intergration"" is a misspelling of ""integration,"" which is the process of combining or coordinating different elements, systems, or components into a unified or harmonious whole.8",1
@kiz1699,Such a lifeless class he seems like a good teacher who wants to make math fun,1.1K
@byCeevu,so I watched 58min of mathematics while I'm drunk and I really enjoyed it even tho I have no clue what he is talking about,393
@Ghostly-00,It's not a proper classroom unless there's someone constantly coughing. It's practically a law. Someone MUST be coughing in every class otherwise the universe would fall apart lmao,3.2K
@pangeran_alfan16,Nggak perlu jauh jauh ke Inggris untuk masuk perguruan tinggi Oxford cukup nonton di yt dah tau suasana ruang kelas nya gimana benar benar luar biasa di tambah lagi kuliah kalkulus,1
@yasarhh539,A good Mathematics teacher will always make the difficult concepts simple for the students as Prof. Dan taught us his name.,2.7K
@saikosocial,"This dude explains all these things and I'm just sitting here going like ""Que?!""",689
@washingtonlgois,"Oxford: How many boards do you need? 
Teacher: yes!",736
@jellyfinishedhelloanymore7939,It's Amazing how things are so simple yet understanding! I thought Oxford will be like those hectic movie scenes but it's not,0
@ThirdEyeTyrone,I know some of these words.,2.8K
@zig1792,The only things i learned is that the boards can slide.,4.7K
@nishaanand4845,I'm just here to see the boards moving up and down,520
@Pgan803,"OMG if this is Intro and Easy, can't wait for the Hard Ones so I can day dream in class.",2
@dr.deadpool5959,"Dad: What can you learn from staring at social media all day?

Me: this video",570
@Arjun-my5zp,Well....He pretty much covered almost all of my high school calculus in just the first introductory lecture. You can only imagine how harder things get from here.,2.9K
@Lnguyen217,I went from watching NBA highlights to introduction to calculus,1.5K
@Lolio8872kk,"In the realm of mathematics, calculus is the divine language that unveils the secrets of change and motion. Its two sacred pillars, differential calculus and integral calculus, illuminate the paths of infinitesimally small and boundless accumulation. Through these sacred teachings, one can discern the slopes of curves and fathom the areas beneath them, unraveling the very fabric of the mathematical cosmos.",0
@새우깡0,The most incomprehensible thing in this video is that this lecture might be a bit too easy for someone.,2.5K
@davidtorres8297,"I have a lot of homework, this has nothing to do with my career and it isn't even in my language. This is my level of procrastination.",2.1K
@xrpdopamine9950,Plot twist: there is no one in the room,1.9K
@matthiaslambock5956,Dan has an good and dry sense of humor. Like it,0
@bradgretch,My simple mind was more impressed with the rollable whiteboards than his knowledge of advanced mathematics.......,723
@tonyyu1064,When quarantine hits hard...,402
@shankysays,"Administration - ""How many whiteboards do you want in class""?


Faculty = YESSS!!!",3.5K
@rishipramanick6823,I passed neet medical entrance this year and ironically all the things he covered are taught in our class 11 and 12 ....... so basically in england u learn calculus at university level,2
@nathanmcchristie3997,imagine zoning out then seeing all the whiteboards full when you zone back in,281
@Riya-1408-e8q,I can only understand that the board moves up and down,6.5K
@linda.00,"He attempted to tell a joke nobody got. Dan, I laughed at your joke about the book dropping, good joke.",2K
@SY-ey4et,'the EASIEST course you'll take here in Oxford',7
@s.justin3477,I feel lucky that I attended Oxford University's lecture sitting a remote town in India.,965
@arthurg5966,"Me : Watching Cardi B
YouTube : You need to learn some calculus",4.2K
@yesitsme2143,This is easy. It's just like a walk in the park. Jurassic park.,835
